id,image,centers
00348cfbe01d3ac3964d2900,frames/00348cfbe01d3ac3964d2900.png,"[[0.742703,0.634804],[0.484517,0.3706],[0.490815,0.478073],[0.725073,0.457921],[0.745224,0.578829],[0.376205,0.453444],[0.757818,0.388512],[0.604167,0.84751],[0.437918,0.887813],[0.660839,0.585545]]"
00359f990ee8476fecc92574,frames/00359f990ee8476fecc92574.png,"[[0.51205,0.727899],[0.558687,0.638611],[0.2977,0.928796],[0.182005,0.362778],[0.664516,0.761382],[0.658238,0.064621],[0.36048,0.758193],[0.660032,0.660933],[0.583798,0.270301],[0.629538,0.542947],[0.490525,0.372343],[0.613395,0.310161],[0.500391,0.643394],[0.453754,0.468008],[0.414292,0.45366],[0.40353,0.394665],[0.08335,0.888936],[0.494113,0.321322]]"
004f1f9920686f8fbae3b1f4,frames/004f1f9920686f8fbae3b1f4.png,"[[0.699494,0.208118],[0.605323,0.086943],[0.181108,0.361183],[0.363171,0.361183],[0.921016,0.365967],[0.194561,0.841103],[0.479762,0.680067],[0.894109,0.71355],[0.257341,0.807621],[0.551512,0.329294],[0.652857,0.431338],[0.031332,0.632235],[0.337162,0.294217],[0.598148,0.434526],[0.138955,0.785299],[0.775727,0.522219],[0.609342,0.535253],[0.51983,0.540075],[0.550571,0.498283],[0.44388,0.601157],[0.318202,0.397018],[0.452018,0.126975],[0.073175,0.183234],[0.799942,0.10767],[0.431332,0.361183],[0.609808,0.25914],[0.415189,0.893719]]"
006ad4343b4553296a4bcbb1,frames/006ad4343b4553296a4bcbb1.png,"[[0.695009,0.21609],[0.62057,0.102887],[0.173037,0.36756],[0.370346,0.389882],[0.888734,0.377126],[0.165862,0.849075],[0.490525,0.644989],[0.891422,0.710361],[0.271691,0.769354],[0.545234,0.332483],[0.648373,0.450471],[0.029539,0.640206],[0.316534,0.295811],[0.588283,0.416988],[0.138059,0.799649],[0.764965,0.483953],[0.602109,0.536861],[0.489993,0.540075],[0.559613,0.487032],[0.43936,0.605979],[0.310065,0.379336],[0.463772,0.115724],[0.086738,0.141442],[0.830438,0.115642],[0.427745,0.354806],[0.593664,0.270301],[0.408911,0.912851]]"
00ac3381f20c7624ababbca7,frames/00ac3381f20c7624ababbca7.png,"[[0.507188,0.863183],[0.673432,0.80273],[0.352276,0.285518],[0.337162,0.587784],[0.599125,0.187001],[0.720031,0.265367],[0.720031,0.4624],[0.568901,0.099679],[0.309454,0.498224],[0.585271,0.831837]]"
00ac851ae40a685cecf538be,frames/00ac851ae40a685cecf538be.png,"[[0.416983,0.592374],[0.361377,0.866614],[0.431332,0.914446],[0.636713,0.25914],[0.467207,0.57324],[0.2977,0.888936],[0.54344,0.892125],[0.182902,0.361183],[0.597252,0.6992],[0.799942,0.271896],[0.541646,0.896908],[0.506669,0.654556],[0.540749,0.509464],[0.539852,0.294217],[0.452857,0.479169],[0.523709,0.372343],[0.559584,0.219279],[0.636713,0.57324],[0.399045,0.531786],[0.43492,0.326106],[0.457341,0.394665]]"
00ce6c676839405f9339c414,frames/00ce6c676839405f9339c414.png,"[[0.674693,0.697496],[0.483258,0.368361],[0.493333,0.480312],[0.402653,0.267606],[0.749,0.581068],[0.289303,0.478073],[0.333384,0.245215],[0.604167,0.84751],[0.379983,0.146699],[0.66462,0.587784]]"
00d33192e1dbf38734cea466,frames/00d33192e1dbf38734cea466.png,"[[0.703978,0.292622],[0.661826,0.192174],[0.181108,0.365967],[0.355099,0.442499],[0.86093,0.431338],[0.314741,0.801243],[0.489628,0.617885],[0.815188,0.576429],[0.324606,0.667311],[0.489628,0.361183],[0.629538,0.475981],[0.029539,0.756599],[0.271691,0.265518],[0.590077,0.350022],[0.077969,0.844292],[0.654651,0.420176],[0.546051,0.517572],[0.446593,0.596335],[0.544242,0.461314],[0.423085,0.66706],[0.299215,0.385765],[0.481855,0.110901],[0.181674,0.048213],[0.907562,0.048677]]"
00d734e1bc9c3960e095298b,frames/00d734e1bc9c3960e095298b.png,"[[0.025,0.750221],[0.196355,0.603535],[0.252857,0.579618],[0.597252,0.109264],[0.235816,0.721522],[0.568552,0.680067],[0.583798,0.044444],[0.638507,0.220874],[0.72909,0.676878],[0.560517,0.234671],[0.830859,0.231456],[0.77214,0.447282],[0.793791,0.101257],[0.6654,0.366476],[0.411602,0.3277],[0.652857,0.466414],[0.596684,0.242708],[0.284247,0.082159],[0.569449,0.397854],[0.430435,0.479169],[0.381108,0.90169],[0.440301,0.338861],[0.311153,0.909662],[0.395458,0.823564],[0.531416,0.658168],[0.571884,0.514283],[0.416308,0.728512],[0.667207,0.872397],[0.399222,0.599015],[0.490049,0.75569],[0.570984,0.354411]]"
00e48d718cf1dbda2414db7a,frames/00e48d718cf1dbda2414db7a.png,"[[0.032229,0.705578],[0.269001,0.598751],[0.490525,0.955556],[0.581108,0.283056],[0.684247,0.110859],[0.728193,0.676878],[0.625616,0.258782],[0.849852,0.260389],[0.773037,0.447282],[0.755816,0.078753],[0.679866,0.334329],[0.68335,0.208118],[0.58945,0.2411],[0.119225,0.118831],[0.326399,0.735871],[0.408911,0.6705],[0.669905,0.632589],[0.481955,0.691742],[0.549402,0.274475],[0.277072,0.688039],[0.485144,0.270301],[0.549718,0.399449],[0.355099,0.955556],[0.605323,0.43931],[0.470795,0.420176],[0.555996,0.380315],[0.550615,0.637017],[0.471691,0.627451],[0.563171,0.609912],[0.399045,0.468008],[0.46362,0.332483],[0.364068,0.595562],[0.517431,0.632235],[0.432229,0.420176],[0.538059,0.420176],[0.415189,0.751815],[0.467207,0.383504]]"
