id,frames,gate,crossing_events
0037f154c3ff712136a98bf2,"[""frames/c5970f060565d827e20d03d1.png"",""frames/f2927acf305f6c93473310d6.png"",""frames/a206b67d55359ef6719283b5.png"",""frames/c10cac26cee3b68defe2376d.png"",""frames/f0f4e2774ba5ff5aa2a630a6.png"",""frames/6db2063f9e96948dea32034a.png"",""frames/0209ccb52fbbf573e688bf1c.png"",""frames/7d5849cdde533c3699305919.png"",""frames/0f90fb2f69ff5fb6626a59a0.png"",""frames/539f13b875c3d1fe8bbacdf8.png"",""frames/c09e1b5e70aee7f71b304c4b.png"",""frames/71a99287b5f117cba0c9d31a.png"",""frames/ffbd3079b8f8f7973f229c4d.png"",""frames/9acb4066ccf5e094204857ab.png"",""frames/39364dd5de656ed8ac704bee.png"",""frames/24e96b64d78353314e47a2b3.png"",""frames/8b184751d8ed031ab01ffb75.png"",""frames/42f795cea4206d5c861f794c.png"",""frames/3ed9f47dd2a97168f53cffd7.png"",""frames/c601aae8992ab48bb0e8bc16.png""]","[0,0.65,1,0.65]","[[2.904759,1,0.523453],[6.157143,1,0.265798],[7.92381,-1,0.463415],[9.914286,1,0.766989],[13.571412,1,0.135496]]"
003c583d6dd9ae7e1c1dda8e,"[""frames/1988e3ecb3c024ec533fa83d.png"",""frames/24ac96435f064a8e2358302c.png"",""frames/691a8917d5c15e3ceec3db7e.png"",""frames/2565db6005b13104a239a16d.png"",""frames/00e48d718cf1dbda2414db7a.png"",""frames/43619cd1fa25b8e3ad758597.png"",""frames/cd50026023059c25bd6a235b.png"",""frames/12f3259846b6611461abbfc6.png"",""frames/9ae916aa0673695387ebde3f.png"",""frames/2d97bbfb02109bf39e757f78.png"",""frames/d680f0c76ddf0bfef2924c49.png"",""frames/76f70f1ce3cf098b4022f605.png"",""frames/443bf52898e114ce6f5ec569.png"",""frames/4523321131d2ee112cec280a.png"",""frames/b33c7adf4dc3ced4bd6bd181.png"",""frames/c29b88fb17e330546b6e0ec1.png"",""frames/11bdb420ff4388104c31fe1b.png"",""frames/0f45f9c41e7bf2010842a1d6.png"",""frames/16c723acad3e4577bc767d5e.png"",""frames/4dbb3cca8c103ddc959c967e.png""]","[0,0.35,1,0.35]","[[0.062649,-1,0.68077],[14.034376,1,0.588256],[17.907824,1,0.619177]]"
00b46303b5d546d4df8cee00,"[""frames/4641ccbe2340f166bef2518b.png"",""frames/4ff19fc60ea9f7b0906397aa.png"",""frames/16009297913303813399c928.png"",""frames/8c55987e4141c0d620008d2c.png"",""frames/c64a30834437c934b17799d1.png"",""frames/c50ed06a573201b3891591e8.png"",""frames/90f04a1f10d49f83ad58d45a.png"",""frames/882a4f40651886342a99a299.png"",""frames/2bd71a4f716410a3f8a7b909.png"",""frames/f77a7e113f953a4db6c4ea7d.png"",""frames/254b7d1c7cd6c2f4c80bafc2.png"",""frames/cfa9e8d97a128af796303f85.png"",""frames/e5f5b0faa880f9b316dbce17.png"",""frames/b20d4e3cfe52e82a1ee31283.png"",""frames/8b4407611879da23b45ab795.png"",""frames/4aa2d59676c76b9de3be6830.png"",""frames/06279f73f78744c412f10d4b.png"",""frames/68caabe784a323b215d97c50.png"",""frames/2f93157c48205478c01543a5.png"",""frames/3b5aa299d5de433a9b4338f6.png""]","[0,0.5,1,0.5]","[[1.32361,-1,0.419507]]"
00e5ad684032c35a33e9d4d4,"[""frames/6ee76ff3c443919fb8b1f058.png"",""frames/c466f7c2f9a7d4e15bebb7e6.png"",""frames/3c83ca06df597ebd6a37a8a2.png"",""frames/0ce092f078fb4be187b963f7.png"",""frames/8cf0169f0821da69988e8bcb.png"",""frames/1ebbd40237e74f09aea06cb7.png"",""frames/a8fa88492434cefd4b9bb099.png"",""frames/ebd2214e533c7df8286e27fb.png"",""frames/c478637e98e2638e23dd338f.png"",""frames/522ffaa6e93552abe423c308.png"",""frames/5b21fe23388bab13b4820e49.png"",""frames/e1551f2f497ab7d17cd4533f.png"",""frames/3f8e41390fc912b99ddadbb6.png"",""frames/3b72abf59dd2b221944268ac.png"",""frames/53c20d9ddc1002408bc8efd8.png"",""frames/ebc89be6ddba476c3cf4f587.png"",""frames/1db44b00e144b60069c6aaa4.png"",""frames/f76984045bf89b7c30645845.png"",""frames/08afba82b48918fd8791c60b.png"",""frames/5fbfa1a4c29ea5225ce68e31.png""]","[0,0.8,1,0.8]","[[0.101706,1,0.424431],[0.864389,-1,0.312582],[7.061022,1,0.374502],[10.455889,1,0.414121],[12.768815,1,0.358894],[13.318641,-1,0.621181],[15.027551,1,0.530982]]"
00eacc66c81cbdb6961d75b2,"[""frames/538fec7a2202caadd5777512.png"",""frames/a814186fad038b8f6320e08a.png"",""frames/6fc5f91ef7364c58ed471743.png"",""frames/6ee060d99603cb9a3bb0a496.png"",""frames/93238633cd44ed2617729805.png"",""frames/23bfb6123ba2064ca7218e86.png"",""frames/c902ab1acd554f99f217d765.png"",""frames/c130d0dde4b2f30d19fe960f.png"",""frames/735f275a50945fe18bc05dca.png"",""frames/14c7814bb60ac710534c0ec3.png"",""frames/19b0ebbd85ec7502b386e28f.png"",""frames/a0edf092d8e5643c640cb747.png"",""frames/67b5e5a528d1b46114b66445.png"",""frames/71017c8c0d6b414d1b338b0c.png"",""frames/3be3882ecf00ad912bb25e49.png"",""frames/2e88ca726bff85e8232140e5.png"",""frames/25d07559b4cdf6199edb0c2d.png"",""frames/94c7d75c0fa643afb3e3a90e.png"",""frames/415c3de82809079c274dc23a.png"",""frames/203297ae999b301137018acb.png""]","[0,0.2,1,0.2]","[[3.543688,1,0.686384],[16.699063,-1,0.736284]]"
01ffc67dd01d407fb701addc,"[""frames/03184d4b36abf046da01bfe2.png"",""frames/757754d7047056d9b950e981.png"",""frames/15fb29bda103c07229fa81fc.png"",""frames/e0cb1b531b7550f735c9fa1f.png"",""frames/9a541b52b76d4d39fd5ec922.png"",""frames/ee428ea9c93bd5af29e8d08e.png"",""frames/9d46bb73274c99f288dfd449.png"",""frames/b69994f04c35a99748b01233.png"",""frames/100f39bfdf69a0ffed0c1e32.png"",""frames/14c876ed2ec97f03535e6af8.png"",""frames/4091270fb5f6c03b31277c1b.png"",""frames/c8e1624afc1178081c2448ff.png"",""frames/cd8a5ff563294384030b2b91.png"",""frames/04133f73d4f2fc06e5b49e77.png"",""frames/9cc39150983f61a14a010b18.png"",""frames/a718a3b224321d58dc61a4f9.png"",""frames/6df255d2a62e2d726234e688.png"",""frames/a690550195d7c1d8b360044f.png"",""frames/244735bf7a7c4faaf67292c7.png"",""frames/595b9516d41e805287050036.png""]","[0.5,0,0.5,1]","[[2.951607,1,0.387079],[9.703475,-1,0.794513],[12.687108,-1,0.318437],[12.93198,-1,0.35858],[13.173829,1,0.358135],[13.521487,1,0.31245],[14.179443,-1,0.308444]]"
02041d1a8b46ca4c6262dd83,"[""frames/113cf0ac76f518a2d5681c85.png"",""frames/63b23f2d66cc9611d5f66ebc.png"",""frames/5f7ef87c1b52b5787cb41123.png"",""frames/7773f69b1fde429bb772a9f3.png"",""frames/e16c9eb40f33df4f84ac5ce8.png"",""frames/8717d4006a61e4213cd5964b.png"",""frames/5ef3d68c3d84eb8b21fd32e7.png"",""frames/6d4b6b1ab8f67467e7524318.png"",""frames/6a60f081163fd1b69e735465.png"",""frames/62b1cd8fdc5bb0cb3bad69b4.png"",""frames/8c780895d6fe132604b20eb4.png"",""frames/7344e03f1f2ce6df25ba4b46.png"",""frames/46cdd08d9e222be649a402d9.png"",""frames/4941c788c6302d775af95640.png"",""frames/130941a507a2c8aa2ca0d1af.png"",""frames/3e272283fc191e3056ac39cb.png"",""frames/d5a7c081732819d82b67ba59.png"",""frames/4aa0a30dcdd38761bc72b20e.png"",""frames/975ec55d7e1263428344e5ec.png"",""frames/5cf71ed28fa2ad2135232d4f.png""]","[0,0.8,1,0.8]","[[5.598518,1,0.584261],[12.308965,1,0.360427],[12.804818,-1,0.482645],[15.756162,1,0.428363],[16.609595,-1,0.427903]]"
02048daa99fd8f922dd986c3,"[""frames/eb1bac5edf23c14b0ecfece7.png"",""frames/37c216de5517efcc8d7eb857.png"",""frames/02aa57422ad5436904101783.png"",""frames/099df1f897379a929e7ce58f.png"",""frames/3de20bcebf78b7ea58645726.png"",""frames/12c8db6c33cad498e314af31.png"",""frames/470c28fcf751d317ea089de6.png"",""frames/959e3a34be1081550128c71c.png"",""frames/0bb9514c5fa8c61517ce22b5.png"",""frames/4cb0988579cb42a8b93ef258.png"",""frames/67ce3105c3d9c269dcb1cb0e.png"",""frames/0c753efe8a6269a94b75af50.png"",""frames/5b227b7fde2563642b992640.png"",""frames/8cadb368cf4b58950f8ed8db.png"",""frames/3d2de92596832283dad12f08.png"",""frames/e664cd6ea862581bb32f6dca.png"",""frames/9c96b248e96f52bcd71a621b.png"",""frames/e4e6911a4e3fedc0ff97b931.png"",""frames/5dd1ccde5e7933a579b8f39b.png"",""frames/26940daf12a60043d554a9c2.png""]","[0,0.35,1,0.35]","[[6.501742,-1,0.675744],[6.665505,1,0.484847],[14.569438,1,0.37214],[15.873258,1,0.539739],[16.144848,-1,0.538943],[16.750288,-1,0.67399],[18.249712,1,0.679186],[18.996516,1,0.530896]]"
0237e3d1eff640a2be5b0849,"[""frames/1addb3843858f6ebf453996d.png"",""frames/9d2f7365f11cc5554d9f0299.png"",""frames/23024ae7b3ff43e21521c943.png"",""frames/f50f669a75547d8547c52d22.png"",""frames/9abfaec43fc6336a02d81d4a.png"",""frames/2a3cf54a52243d7aace361d9.png"",""frames/77e2eb76fdd95993b0f230ea.png"",""frames/f51f1c8210c0010969fbd62b.png"",""frames/d6857d6fe642d635dd710ddc.png"",""frames/60a326ff895f30e3a8125da9.png"",""frames/0d670fe1f57e82f793fffbb5.png"",""frames/82d4f86537310dc004cbf7c9.png"",""frames/a29ead2936e3499ba9decc84.png"",""frames/1e971e0a1d7bed635e0c3ed7.png"",""frames/aed90359f0a4f6a3d9cc19e3.png"",""frames/deb0d4035b2f9c02803d036c.png"",""frames/4ae464bd3b173860f1c2ccb1.png"",""frames/2ce7f64a0cfcee01de84cd21.png"",""frames/bfdaf81ae67a11909d762176.png"",""frames/f330909b16bbdfcf598a1f25.png""]","[0,0.65,1,0.65]","[[0.112782,1,0.383495],[0.605701,1,0.406195],[0.952381,-1,0.499451],[2.469407,-1,0.475022],[5.948052,-1,0.478353],[9.928566,1,0.437674],[10.649351,1,0.411695],[11.785714,1,0.508142],[12.428571,-1,0.504491],[14.486316,1,0.658799],[15.403327,-1,0.453606]]"
0249ee5daf4d2872050dba0d,"[""frames/80f0a65b638e1f8f5b7eea41.png"",""frames/159371005535b31e7f129251.png"",""frames/445513cc697ff534a886b0d8.png"",""frames/fb5c69385f1bcaee9db973ea.png"",""frames/dbac70c609a2be976f545129.png"",""frames/acf24ea02d7a4a0967e59e9d.png"",""frames/01687eed1bd3d477f2e446db.png"",""frames/62d3ed74ee438b78a051d15c.png"",""frames/a5587f4d34f94153518a6e33.png"",""frames/1012f55e03d9ed752c5d4ade.png"",""frames/16772ab3d44e30a4eb02ba6d.png"",""frames/aede65bbef7e061b202c15f7.png"",""frames/21346c53151e5ced35ad5d2e.png"",""frames/c22acdc94b722ff118820be8.png"",""frames/8a7144ca31d4a1b2b8294ef7.png"",""frames/d64a65bbb85e6fd8c444af49.png"",""frames/8e2915c3dfe4226297372c84.png"",""frames/bcca99ee93aba7852fb21fd7.png"",""frames/472504f628742bfad1c08a7e.png"",""frames/adf099c282c7e8ac82424fcb.png""]","[0,0.2,1,0.2]","[[11.522866,-1,0.216983]]"
